index,title,author,author_sex,author_nationality,publisher,publisher_country,month_year,day ,pages,ranks,best_seller_rank,general_subject,specific_subject,price,link
35,On Trend: The Business of Forecasting the Future ,Devon Powers,Female,,University of Illinois Press,,19-Oct,16,232,5,525.306,Economy ,Trends,12.28,https://www.amazon.co.uk/Trend-Devon-Powers/dp/0252084691/ref=sr_1_63?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542534&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-63&unfiltered=1
36,Airbnb: Why so many people are earning a seven-figure income without owning property ,Andrew Jameson,Male,British,Orion Products LTD,,19-Oct,11,120,16,,Economy ,Property,14.42,https://www.amazon.co.uk/Airbnb-earning-seven-figure-without-property/dp/1951698002/ref=sr_1_64?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605542534&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-64&unfiltered=1
37,Finding Time: The Economics of Work-Life Conflict ,Heather Boushey,Female,American,Harvard University Press,USA,19-Oct,25,360,8,"2,077,242",Economy ,Development,9.33,https://www.amazon.co.uk/Finding-Time-Heather-Boushey/dp/0674241495/ref=sr_1_65?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605545948&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-65&unfiltered=1
38,Profits and Sustainability: A History of Green Entrepreneurship,Geoffrey Jones,Male,British,Oxford University Press,UK,19-Oct,15,456,2,"1,445,775",Economy ,Resources,20,https://www.amazon.co.uk/Profits-Sustainability-History-Green-Entrepreneurship/dp/0198845650/ref=sr_1_71?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605545948&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-71&unfiltered=1
39,Central Bank Independence and the Future of the Euro ,Panicos Demetriades,Male,Cypriot,Agenda Publishing,UK,19-Oct,24,160,2,"1,581,470",Economy ,Politics,9.79,https://www.amazon.co.uk/Central-Independence-Comparative-Political-Economy/dp/1788211545/ref=sr_1_73?Adv-Srch-Books-Submit.x=45&Adv-Srch-Books-Submit.y=10&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-binding_browse-bin=492564011&field-datemod=10&field-dateop=During&field-dateyear=2019&qid=1605545948&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&s=books&sr=1-73&unfiltered=1
40,Charter Schools and Their Enemies,Thomas Sowell,Male,American,Basic Books,USA,20-Oct,15,288,654,233.169,Economy ,Education ,17.6,https://www.amazon.co.uk/Charter-Schools-Enemies-Thomas-Sowell/dp/1541675134/ref=sr_1_1?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-1&unfiltered=1
41,Trust: America's Best Chance,Pete Buttigieg,Male,American,John Murray,UK,20-Oct,6,224,367,24.096,Economy ,Politics,12.99,https://www.amazon.co.uk/Trust-Americas-Chance-Pete-Buttigieg/dp/152935630X/ref=sr_1_2?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-2&unfiltered=1
42,The Richest Man In Babylon, George S. Clason,Male,American,Sanage Publishing,India,20-Oct,18,190,12.25,,Economy ,Development,11.99,https://www.amazon.co.uk/Richest-Man-Babylon-George-Clason/dp/8194824133/ref=sr_1_3?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-3&unfiltered=1
43,The Price of Panic: How the Tyranny of Experts Turned a Pandemic Into a Catastrophe,"Jay W Richards, William M Briggs, Douglas Axe ",Male,American,Regnery Publishing,USA,20-Oct,13,256,61,69.804,Economy ,Pandemic,18.99,https://www.amazon.co.uk/Price-Panic-Tyranny-Pandemic-Catastrophe/dp/1684511410/ref=sr_1_4?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-4&unfiltered=1
44,"Credit: 3 books in 1: The Complete Guide on Credit Secrets. How to repair and increase your score, protect your financial life with 609 letter templates, and free your business from debt",Tony Risk,Male,American,Top Edition Ltd,UK,20-Oct,15,432,31,,Finance,Credit,19.66,https://www.amazon.co.uk/Credit-Complete-Secrets-financial-templates/dp/1914036255/ref=sr_1_5?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-5&unfiltered=1
45,How Charts Lie: Getting Smarter about Visual Information,Alberto Cairo,Male,Spanish,W. W. Norton & Company,USA,20-Oct,13,256,162,72.657,Economy ,Statistics,10.76,https://www.amazon.co.uk/How-Charts-Lie-Getting-Information/dp/0393358429/ref=sr_1_6?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-6&unfiltered=1
46,"Credit Secrets: The Blueprint to Understand, Raise and Repair Your Score. How to Get Out of Debt, Restore Your Name and Delete Bad Credit Using Tips, Law Loopholes and Strategies That Works",Larry Mitchell,Male,,Independently published ,,20-Oct,4,209,46,,Finance,Credit,16.99,https://www.amazon.co.uk/Credit-Secrets-Blueprint-Understand-Strategies/dp/1838236414/ref=sr_1_7?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-7&unfiltered=1
47,Money: The True Story of a Made-Up Thing,Jacob Goldstein,Male,American,Atlantic Books,UK,20-Oct,1,272,130,15.045,Finance,Money,11.88,https://www.amazon.co.uk/Money-True-Story-Made-Up-Thing/dp/1786495708/ref=sr_1_8?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-8&unfiltered=1
48,"Day Trading Investing: For Your Financial Freedom. A Practical Guide to Strategies, Methods, Tools and Tactics. Learn the Trading Psychology and How to Manage Your Money ",Warren Lynch,Male,,Smart Digital Performance Ltd ,UK,20-Oct,3,146,37,,Economy ,Development,19.99,https://www.amazon.co.uk/Day-Trading-Investing-Strategies-Psychology/dp/1801096589/ref=sr_1_9?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-9&unfiltered=1
49,College to Cubicle: Decoding Success for Students ,Shantanu Mohanty ,Male,Indian,Adhyyan Books,India,20-Oct,21,216,30,,Economy ,Development,4.77,https://www.amazon.co.uk/College-Cubicle-Decoding-Success-Students/dp/8194702771/ref=sr_1_11?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-11&unfiltered=1
50,Super Pumped: The Battle for Uber,Mike Isaac,Male,American,W. W. Norton & Company,USA,20-Oct,2,420,409,118.258,History ,Transports,13.79,https://www.amazon.co.uk/Super-Pumped-Battle-Mike-Isaac/dp/0393358615/ref=sr_1_12?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-12&unfiltered=1
51,Ten Lessons for a Post-Pandemic World,Fareed Zakaria,Male,Indian,Allen Lane,UK,20-Oct,6,320,219,7.864,Economy ,Pandemic,15.39,https://www.amazon.co.uk/Lessons-Post-Pandemic-World-Fareed-Zakaria/dp/0241491657/ref=sr_1_13?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-13&unfiltered=1
52,How Money Became Dangerous: The Inside Story of Our Turbulent Relationship with Modern Finance ,"Christopher Varelas, Dan Stone",Male,American & British,Ecco Press,USA,20-Oct,6,400,40,468.499,Finance,Money,14.44,https://www.amazon.co.uk/How-Money-Became-Dangerous-Relationship/dp/0062684760/ref=sr_1_14?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-14&unfiltered=1
53,Daylight Robbery: How Tax Shaped Our Past and Will Change Our Future,Dominic Frisby ,Male,British,Penguin Business,UK,20-Oct,29,288,91,5.737,Finance,Taxes,8.19,https://www.amazon.co.uk/Daylight-Robbery-Shaped-Change-Future/dp/0241360846/ref=sr_1_15?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-15&unfiltered=1
54,Bear Markets and Beyond: A bestiary of business terms,Dhruti Shah,Female ,,Pavilion Books,UK,20-Oct,1,176,13,276.085,Economy ,General,7.99,https://www.amazon.co.uk/Bear-Markets-Beyond-bestiary-business/dp/1911622463/ref=sr_1_16?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605534942&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-16&unfiltered=1
55,Big Tech and the Digital Economy: The Moligopoly Scenario,Nicolas Petit,Male,French,OUP Oxford,UK,20-Oct,8,320,0,245.644,Economy ,Technology,71.34,https://www.amazon.co.uk/Big-Tech-Digital-Economy-Moligopoly/dp/0198837704/ref=sr_1_226?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605549712&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-226&unfiltered=1
56,The Corona Crash: How the Pandemic Will Change Capitalism,Grace Blakeley,Female,British,Verso Books,USA,20-Oct,27,112,5,"12,546 ",Economy ,Pandemic,6.99,https://www.amazon.co.uk/Corona-Crash-Capitalism-Coronavirus-Pamphlets/dp/1839762055/ref=sr_1_117?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605549345&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-117&unfiltered=1
57,Taming the Megabanks: Why We Need a New Glass-Steagall ,Arthur E. Wilmarth Jr.,Male,American,OUP USA,USA,20-Oct,22,600,2,447.033,Economy ,Banks,26.64,https://www.amazon.co.uk/Taming-Megabanks-Why-Need-Glass-Steagall/dp/019026070X/ref=sr_1_126?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605549345&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-126&unfiltered=1
58,Faith And Credit: The World Bank's Secular Empire,"Susan George, Fabrizio Sabelli",Male & Female,,Routledge,UK,20-Oct,19,288,2,"4,301,472",Economy ,Politics,36.99,https://www.amazon.co.uk/Faith-Credit-World-Secular-Empire/dp/0367160099/ref=sr_1_129?Adv-Srch-Books-Submit.x=55&Adv-Srch-Books-Submit.y=7&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605549404&refinements=p_n_feature_browse-bin%3A400530011%2Cp_n_availability%3A428631031%2Cp_n_condition-type%3A616995011&rnid=68&s=books&sr=1-129&unfiltered=1
59,"The Encyclopedia of Commercial Real Estate Advice: How to Add Value When Buying, Selling, Repositioning, Developing, Financing, and Managing",Terry Painter,Male,American,Wiley,USA,20-Oct,8,528,13,,Economy ,Property,30.42,https://www.amazon.co.uk/Encyclopedia-Commercial-Real-Estate-Advice/dp/111962911X/ref=sr_1_2?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605554343&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-2&unfiltered=1
60,Libra Shrugged: How Facebook Tried to Take Over the Money,David Gerard,Male,Australian,Independently published ,,20-Oct,29,180,7,322.132,Money,Social Network,13.99,https://www.amazon.co.uk/Libra-Shrugged-Facebook-Tried-Money/dp/B08M8DGKY4/ref=sr_1_8?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605554343&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-8&unfiltered=1
61,Kaizen: Advanced Guide of Effective Kaizen Methods and Strategies in the Information,Robert Miller,Male,,Independently published ,,20-Oct,5,123,4,,Economy ,Development,19.99,https://www.amazon.co.uk/Kaizen-Advanced-Effective-Strategies-Information/dp/B08KJRCTLZ/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605560378&sr=8-1
62,"A Small Farm Future: Making the Case for a Society Built Around Local Economies, Self-Provisioning, Agricultural Diversity and a Shared Earth",Chris Smaje,Male,British,Chelsea Green Publishing ,,20-Oct,15,300,4,"15,067 ",Economy ,Local Economies,14.59,https://www.amazon.co.uk/Small-Farm-Future-Self-Provisioning-Agricultural/dp/1603589023/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605554415&sr=1-19
63,Human Work: In the Age of Smart Machines,Jamie Merisotis,Male,American,Rosetta Books,USA,20-Oct,6,216,8,391.498,Economy ,Technology,10.75,https://www.amazon.co.uk/Human-Work-Jamie-Merisotis/dp/1948122626/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=1605635881&sr=1-5
64,Zconomy: How Gen Z Will Change the Future of Business?and What to Do About It ,"Jason Dorsey, Denise Villa",Male & Female,American,Harper Business,USA,20-Oct,15,288,20,472.201,Economy ,Development,16.51,https://www.amazon.co.uk/Zconomy-Change-Future-Businessand-About/dp/0062970291/ref=sr_1_98?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559602&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-98&unfiltered=1
65,New Laws of Robotics: Defending Human Expertise in the Age of AI,Frank Pasquale,Male,American,Belknap Press,,20-Oct,30,352,1,132.929,Economy ,Technology,20.93,https://www.amazon.co.uk/New-Laws-Robotics-Defending-Expertise/dp/0674975227/ref=sr_1_73?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559516&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-73&unfiltered=1
66,"The Coming Cyber War: What Executives, the Board, and You Should Know",Marc Crudgington,Male,American,"CyberFore Systems, LLC ",USA,20-Oct,29,272,2,,Economy ,Technology,23.99,https://www.amazon.co.uk/Coming-Cyber-War-Executives-Should/dp/1735916315/ref=sr_1_32?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605554415&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-32&unfiltered=1
67,Futures of Socialism: The Pandemic and the Post-Corbyn Era ,Grace Blakeley,Female,British,Verso Books,USA,20-Oct,13,272,1,40.415,Economy ,Pandemic,10.56,https://www.amazon.co.uk/Futures-Socialism-Pandemic-Post-Corbyn-Era/dp/1839761334/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605559374&sr=1-42
68,Stock Market Investing for Beginners and Forex: A Quick Start Guide to Creating Real Wealth and Become a Intelligent Investor in Forex & Stocks to Build Your Constant Stream of Income,Mike Turner,Male,American,HYDRA SR PRODUCTIONS LTD ,UK,20-Oct,17,414,1,,Finance,Stock Market,23.95,https://www.amazon.co.uk/Stock-Market-Investing-Beginners-Forex/dp/1801125619/ref=sr_1_44?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559374&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-44&unfiltered=1
69,Path to freedom. Everything you need to know about financial markets,Iovan Catalin Adelin,Male,,Independently published,,20-Oct,27,179,1,,Economy ,Development,24.99,https://www.amazon.co.uk/freedom-Everything-about-financial-markets/dp/B08M2B9HD7/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605559374&sr=1-45
70,"The Economic Superorganism: Beyond the Competing Narratives on Energy, Growth, and Policy",Carey King,Male,American,Springer,Germany ,20-Oct,8,488,3,349.802,Economy ,Resources,22.99,https://www.amazon.co.uk/Economic-Superorganism-Beyond-Competing-Narratives/dp/3030502945/ref=sr_1_21?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605554415&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-21&unfiltered=1
71,The Universal Tactics of Successful Trend Trading: Finding Opportunity in Uncertainty ,Brent Penfold,Male,American,Wiley,USA,20-Oct,8,416,1,"1,094,104 ",Economy ,Development,29.99,https://www.amazon.co.uk/Universal-Tactics-Successful-Trend-Trading/dp/1119734517/ref=sr_1_58?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559442&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-58&unfiltered=1
72,The Geopolitics of the Global Energy Transition,"Manfred Hafner, Simone Tagliapietra",Male,,Saint Philip Street Press ,UK,20-Oct,9,396,1,,Economy ,Resources,41.2,https://www.amazon.co.uk/Geopolitics-Global-Energy-Transition/dp/1013278224/ref=sr_1_51?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559442&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-51&unfiltered=1
73,The Case Against Cryptocurrency: The Failed Financial Revolution,"Darren Tseng, Stephen Diehl",Male,,Independently published ,,20-Oct,2,196,2,758.653,Economy ,Technology,15,https://www.amazon.co.uk/Case-Against-Cryptocurrency-Financial-Revolution/dp/B08L3Q69TD/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605559374&sr=1-33
74,Options Trading: For Your Financial Freedom. The Complete Crash Course on All You Need to Know about Options Investing to Create a Real Alternative,Warren Lynch,Male,,Smart Digital Performance Ltd ,UK,20-Oct,3,138,37,,Economy ,Development,19.99,https://www.amazon.co.uk/Options-Trading-Financial-Investing-Alternative/dp/1801096597/ref=sr_1_114?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559640&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-114&unfiltered=1
75,"Green New Deal, The: Why the Fossil Fuel Civilization Will Collapse by 2028, and the Bold Economic Plan to Save Life on Earth",Jeremy Rifkin,Male,American,St. Martin's Griffin,USA,20-Oct,1,304,113,"774,968 ",Economy ,Resources,9.37,https://www.amazon.co.uk/Green-New-Deal-Civilization-Collapse/dp/1250766117/ref=sr_1_131?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605563573&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-131&unfiltered=1
76,"Credit Repair Secrets: The Best Tricks and Secrets to Change Your Financial Life. Repair Your Credit, Improve Your Score. Manage Your Expenses and Money Simply and Effectively in Time of Crisis",Warren Moore,Male,American,Growise Ltd,UK,20-Oct,11,130,28,,Finance,Credit,16.99,https://www.amazon.co.uk/Credit-Repair-Secrets-Financial-Effectively/dp/1914058186/ref=sr_1_115?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605559640&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-115&unfiltered=1
77,"Powerful, Different, Equal: Overcoming the Misconceptions and Differences Between China and the US",Peter Walker,Male,American,LID Publishing,UK,20-Oct,8,248,26,"1,029,380",Economy ,International Economy,15.44,https://www.amazon.co.uk/Powerful-Different-Equal-Misconceptions-Differences/dp/1911671405/ref=sr_1_133?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605563573&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-133&unfiltered=1
78,"Bad Buying: How organisations waste billions through failures, frauds and f*ck-ups",Peter Smith,Male,American,Penguin Business,UK,20-Oct,8,336,24,7.902,Economy ,"Failure, Fraud",11.55,https://www.amazon.co.uk/Bad-Buying-Organisations-Billions-Failures/dp/0241434599/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1605563614&sr=1-157
79,More from Less: The Surprising Story of How We Learned to Prosper Using Fewer Resources--And What Happens Next,Andrew McAfee,Male,American,Scribner Book Company,USA,20-Oct,13,352,109,,Economy ,Resources,14.41,https://www.amazon.co.uk/More-Less-Surprising-Learned-Resources/dp/1982103582/ref=sr_1_167?Adv-Srch-Books-Submit.x=40&Adv-Srch-Books-Submit.y=2&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&dchild=1&field-datemod=10&field-dateop=During&field-dateyear=2020&qid=1605563654&refinements=p_n_feature_browse-bin%3A400530011&rnid=400529011&s=books&sr=1-167&unfiltered=1
